,based-type,category,f1,acc,prec,rec
0,only_query,universe,0.4227,0.6327,0.8195,0.3868
0,only_query,us-states,0.5322,0.661,0.8344,0.4572
0,tok_freq,animals,0.763,0.7761,0.7982,0.7502
0,tok_freq,biology,0.6646,0.6692,0.6772,0.665
0,tok_freq,chemistry,0.6375,0.7548,0.7875,0.6195
0,tok_freq,cities,0.4883,0.5301,0.5388,0.4566
0,tok_freq,countries,0.3825,0.5315,0.5539,0.3198
0,tok_freq,culture,0.485,0.5683,0.5946,0.4331
0,tok_freq,entertainment,0.4853,0.5862,0.6513,0.4516
0,tok_freq,food,0.6582,0.7146,0.7533,0.6226
0,tok_freq,geography,0.6969,0.7085,0.7242,0.6917
0,tok_freq,health,0.3545,0.5329,0.5735,0.2566
0,tok_freq,historical-events,0.4619,0.5691,0.6014,0.414
0,tok_freq,human-body,0.618,0.6552,0.6788,0.5899
0,tok_freq,landmarks,0.5325,0.6085,0.7095,0.4964
0,tok_freq,people,0.4051,0.5512,0.623,0.3314
0,tok_freq,plants,0.7786,0.7788,0.7562,0.8044
0,tok_freq,religion,0.3695,0.5461,0.6173,0.2683
0,tok_freq,sports,0.6548,0.6904,0.7133,0.6258
0,tok_freq,technology,0.4802,0.6116,0.6889,0.3877
0,tok_freq,universe,0.4824,0.535,0.5693,0.4392
0,tok_freq,us-states,0.515,0.553,0.5571,0.4924
